date,open,high,low,close,volume
2014-01-01 00:00:00+00:00,118.049,118.222,116.182,116.573,120928.0
2014-01-02 00:00:00+00:00,116.576,116.614,115.388,115.826,86175.0
2014-01-05 00:00:00+00:00,115.83,115.956,114.992,115.277,98858.0
2014-01-06 00:00:00+00:00,115.276,115.506,114.927,115.056,93508.0
2014-01-07 00:00:00+00:00,115.054,115.64,114.896,115.069,105237.0
2014-01-08 00:00:00+00:00,115.07,115.694,114.86,115.576,96927.0
2014-01-09 00:00:00+00:00,115.585,115.935,115.166,115.43,102092.0
2014-01-12 00:00:00+00:00,115.358,115.454,113.976,114.566,93932.0
2014-01-13 00:00:00+00:00,114.565,115.527,114.51,115.474,92963.0
2014-01-14 00:00:00+00:00,115.476,115.55,114.784,115.056,85334.0
2014-01-15 00:00:00+00:00,115.058,115.586,114.934,115.33,86039.0
2014-01-16 00:00:00+00:00,115.325,115.388,114.356,114.619,73187.0
2014-01-19 00:00:00+00:00,114.502,114.648,113.802,114.486,58259.0
2014-01-20 00:00:00+00:00,114.49,114.855,114.209,114.597,86215.0
2014-01-21 00:00:00+00:00,114.597,114.894,114.252,114.652,82087.0
2014-01-22 00:00:00+00:00,114.65,115.65,114.318,115.065,126928.0
2014-01-23 00:00:00+00:00,115.066,115.391,114.162,114.445,142803.0
2014-01-26 00:00:00+00:00,114.202,114.814,113.746,114.397,129147.0
2014-01-27 00:00:00+00:00,114.405,114.884,114.351,114.732,94378.0
2014-01-28 00:00:00+00:00,114.732,115.072,113.8,114.337,143451.0
2014-01-29 00:00:00+00:00,114.327,114.408,113.568,113.789,118483.0
2014-01-30 00:00:00+00:00,113.796,114.014,112.544,112.544,126992.0
2014-02-02 00:00:00+00:00,112.504,112.915,111.899,112.088,124361.0
2014-02-03 00:00:00+00:00,112.09,112.489,111.698,112.472,118291.0
2014-02-04 00:00:00+00:00,112.472,112.578,111.724,112.275,115131.0
2014-02-05 00:00:00+00:00,112.271,113.478,111.902,113.325,101818.0
2014-02-06 00:00:00+00:00,113.322,114.032,112.991,113.991,101043.0
2014-02-09 00:00:00+00:00,114.096,114.226,113.724,114.032,69596.0
2014-02-10 00:00:00+00:00,114.031,114.62,113.855,114.25,77023.0
2014-02-11 00:00:00+00:00,114.252,114.342,113.261,113.849,75032.0
2014-02-12 00:00:00+00:00,113.808,114.434,113.576,114.354,90832.0
2014-02-13 00:00:00+00:00,114.39,114.563,113.852,114.05,82949.0
2014-02-16 00:00:00+00:00,114.008,114.372,113.726,114.326,55172.0
2014-02-17 00:00:00+00:00,114.33,115.472,114.127,115.274,95421.0
2014-02-18 00:00:00+00:00,115.277,115.396,114.646,115.131,77585.0
2014-02-19 00:00:00+00:00,115.163,115.215,114.216,114.976,94054.0
2014-02-20 00:00:00+00:00,114.978,115.79,114.918,115.442,73273.0
2014-02-23 00:00:00+00:00,115.45,115.7,115.092,115.302,70041.0
2014-02-24 00:00:00+00:00,115.319,115.506,114.928,115.284,73547.0
