date,open,high,low,close,volume
2014-01-01 00:00:00+00:00,1.22701,1.23206,1.22676,1.22918,80445.0
2014-01-02 00:00:00+00:00,1.22919,1.23126,1.22817,1.23004,43672.0
2014-01-05 00:00:00+00:00,1.23032,1.2333,1.22972,1.23204,45815.0
2014-01-06 00:00:00+00:00,1.23205,1.23815,1.23178,1.23783,43445.0
2014-01-07 00:00:00+00:00,1.23782,1.23942,1.23593,1.23715,52802.0
2014-01-08 00:00:00+00:00,1.23716,1.2387,1.23361,1.23414,55189.0
2014-01-09 00:00:00+00:00,1.23411,1.23486,1.23231,1.23364,49827.0
2014-01-12 00:00:00+00:00,1.23304,1.23435,1.22906,1.22909,41376.0
2014-01-13 00:00:00+00:00,1.2291,1.23484,1.22909,1.2345,39501.0
2014-01-14 00:00:00+00:00,1.23448,1.23704,1.2341,1.23644,44090.0
2014-01-15 00:00:00+00:00,1.23644,1.2375,1.23154,1.2323,43756.0
2014-01-16 00:00:00+00:00,1.2323,1.23368,1.23178,1.23254,38594.0
2014-01-19 00:00:00+00:00,1.23222,1.23422,1.23218,1.23336,27225.0
2014-01-20 00:00:00+00:00,1.23333,1.23768,1.23246,1.23426,42803.0
2014-01-21 00:00:00+00:00,1.23426,1.23532,1.23326,1.23485,36510.0
2014-01-22 00:00:00+00:00,1.23487,1.23615,1.22756,1.22897,60205.0
2014-01-23 00:00:00+00:00,1.22896,1.23007,1.22265,1.22362,58631.0
2014-01-26 00:00:00+00:00,1.2243,1.2273,1.22278,1.22587,51343.0
2014-01-27 00:00:00+00:00,1.2259,1.22837,1.22502,1.22662,39505.0
2014-01-28 00:00:00+00:00,1.22664,1.22976,1.22132,1.22233,61208.0
2014-01-29 00:00:00+00:00,1.22234,1.2255,1.2219,1.22378,52556.0
2014-01-30 00:00:00+00:00,1.2238,1.22456,1.22111,1.22234,54361.0
2014-02-02 00:00:00+00:00,1.22242,1.22422,1.21846,1.21858,52135.0
2014-02-03 00:00:00+00:00,1.21856,1.22322,1.21854,1.22168,43136.0
2014-02-04 00:00:00+00:00,1.22168,1.22337,1.22048,1.22288,43031.0
2014-02-05 00:00:00+00:00,1.2229,1.22448,1.22113,1.22444,49720.0
2014-02-06 00:00:00+00:00,1.22448,1.22504,1.22171,1.22426,43037.0
2014-02-09 00:00:00+00:00,1.22374,1.22506,1.22248,1.2237,27061.0
2014-02-10 00:00:00+00:00,1.22371,1.22574,1.22281,1.2251,37333.0
2014-02-11 00:00:00+00:00,1.22512,1.22606,1.22343,1.22428,34105.0
2014-02-12 00:00:00+00:00,1.2243,1.22447,1.22071,1.22222,40563.0
2014-02-13 00:00:00+00:00,1.22216,1.22282,1.22066,1.22216,33081.0
2014-02-16 00:00:00+00:00,1.22222,1.22274,1.22123,1.22192,22817.0
2014-02-17 00:00:00+00:00,1.22192,1.22382,1.22119,1.22178,36057.0
2014-02-18 00:00:00+00:00,1.22183,1.22259,1.21905,1.22032,30896.0
2014-02-19 00:00:00+00:00,1.22031,1.22106,1.21864,1.22019,34079.0
2014-02-20 00:00:00+00:00,1.22023,1.22114,1.21892,1.21969,28098.0
2014-02-23 00:00:00+00:00,1.21927,1.22184,1.21866,1.22094,27169.0
2014-02-24 00:00:00+00:00,1.22087,1.22118,1.21882,1.21896,28455.0
2014-02-25 00:00:00+00:00,1.21897,1.22046,1.21864,1.21906,31256.0
2014-02-26 00:00:00+00:00,1.21894,1.21904,1.2157,1.21786,30038.0
2014-02-27 00:00:00+00:00,1.21782,1.21828,1.2133,1.21442,47376.0
2014-03-02 00:00:00+00:00,1.21187,1.2139,1.21042,1.21296,34944.0
2014-03-03 00:00:00+00:00,1.2131,1.2195,1.21268,1.21937,31758.0
2014-03-04 00:00:00+00:00,1.2194,1.21998,1.21763,1.21842,29641.0
2014-03-05 00:00:00+00:00,1.21832,1.22148,1.21816,1.22028,42861.0
2014-03-06 00:00:00+00:00,1.22027,1.22143,1.21677,1.21816,39764.0
2014-03-09 00:00:00+00:00,1.2173,1.21926,1.2168,1.21796,25317.0
2014-03-10 00:00:00+00:00,1.21809,1.21924,1.21652,1.21718,27198.0
