date,open,high,low,close,volume
2014-01-01 00:00:00+00:00,144.851,145.13,142.848,143.297,143014.0
2014-01-02 00:00:00+00:00,143.312,143.314,141.963,142.47,113868.0
2014-01-05 00:00:00+00:00,142.49,142.783,141.502,142.044,125100.0
2014-01-06 00:00:00+00:00,142.043,142.592,141.94,142.413,115303.0
2014-01-07 00:00:00+00:00,142.414,143.172,142.12,142.36,128572.0
2014-01-08 00:00:00+00:00,142.361,143.036,142.042,142.657,115948.0
2014-01-09 00:00:00+00:00,142.657,143.078,142.058,142.415,122339.0
2014-01-12 00:00:00+00:00,142.248,142.36,140.499,140.805,118605.0
2014-01-13 00:00:00+00:00,140.806,142.632,140.772,142.558,113147.0
2014-01-14 00:00:00+00:00,142.556,142.616,141.795,142.256,103760.0
2014-01-15 00:00:00+00:00,142.26,142.913,141.708,142.116,103908.0
2014-01-16 00:00:00+00:00,142.116,142.175,140.978,141.259,89095.0
2014-01-19 00:00:00+00:00,141.078,141.384,140.324,141.181,78071.0
2014-01-20 00:00:00+00:00,141.185,141.86,141.038,141.431,100239.0
2014-01-21 00:00:00+00:00,141.432,141.834,141.056,141.606,102486.0
2014-01-22 00:00:00+00:00,141.605,142.417,141.03,141.432,143371.0
2014-01-23 00:00:00+00:00,141.432,141.773,139.759,140.024,172228.0
2014-01-26 00:00:00+00:00,139.816,140.698,139.181,140.224,153117.0
2014-01-27 00:00:00+00:00,140.226,140.988,140.155,140.728,110730.0
2014-01-28 00:00:00+00:00,140.728,141.273,139.042,139.744,171434.0
2014-01-29 00:00:00+00:00,139.747,139.948,138.894,139.236,136755.0
2014-01-30 00:00:00+00:00,139.238,139.507,137.508,137.607,154669.0
2014-02-02 00:00:00+00:00,137.545,138.108,136.356,136.584,157133.0
2014-02-03 00:00:00+00:00,136.585,137.442,136.232,137.408,149572.0
2014-02-04 00:00:00+00:00,137.41,137.544,136.557,137.286,143531.0
2014-02-05 00:00:00+00:00,137.285,138.832,136.754,138.763,129143.0
2014-02-06 00:00:00+00:00,138.764,139.608,138.168,139.55,126303.0
2014-02-09 00:00:00+00:00,139.626,139.804,139.168,139.542,85435.0
2014-02-10 00:00:00+00:00,139.536,140.314,139.28,139.961,93951.0
2014-02-11 00:00:00+00:00,139.961,140.047,138.678,139.375,93596.0
2014-02-12 00:00:00+00:00,139.375,139.918,138.88,139.775,109634.0
2014-02-13 00:00:00+00:00,139.775,140.067,138.99,139.398,100433.0
2014-02-16 00:00:00+00:00,139.338,139.758,138.957,139.688,71053.0
2014-02-17 00:00:00+00:00,139.686,141.038,139.503,140.827,110977.0
2014-02-18 00:00:00+00:00,140.833,140.92,139.999,140.494,91844.0
2014-02-19 00:00:00+00:00,140.502,140.623,139.196,140.304,115414.0
2014-02-20 00:00:00+00:00,140.305,141.27,140.305,140.808,85601.0
2014-02-23 00:00:00+00:00,140.766,141.046,140.346,140.776,86143.0
2014-02-24 00:00:00+00:00,140.776,140.967,140.136,140.52,89872.0
2014-02-25 00:00:00+00:00,140.52,140.786,139.656,140.112,97634.0
2014-02-26 00:00:00+00:00,140.122,140.224,138.79,140.005,88184.0
2014-02-27 00:00:00+00:00,140.005,141.12,139.12,140.488,124988.0
2014-03-02 00:00:00+00:00,139.645,140.082,139.154,139.337,114991.0
2014-03-03 00:00:00+00:00,139.332,140.536,139.273,140.45,92264.0
2014-03-04 00:00:00+00:00,140.45,140.784,140.196,140.506,85594.0
2014-03-05 00:00:00+00:00,140.5,142.923,140.483,142.868,106038.0
2014-03-06 00:00:00+00:00,142.868,143.794,142.538,143.297,97350.0
2014-03-09 00:00:00+00:00,142.98,143.62,142.852,143.296,77198.0
2014-03-10 00:00:00+00:00,143.278,143.446,142.624,142.777,81236.0
2014-03-11 00:00:00+00:00,142.739,142.972,142.24,142.874,88247.0
2014-03-12 00:00:00+00:00,142.894,143.384,140.715,141.242,123636.0
2014-03-13 00:00:00+00:00,141.25,141.514,140.446,140.988,120001.0
2014-03-16 00:00:00+00:00,140.85,141.978,140.801,141.682,88460.0
2014-03-17 00:00:00+00:00,141.666,141.965,140.746,141.348,98088.0
2014-03-18 00:00:00+00:00,141.348,141.926,141.065,141.546,100912.0
2014-03-19 00:00:00+00:00,141.546,141.732,140.823,141.07,97375.0
2014-03-20 00:00:00+00:00,141.09,141.298,140.44,141.016,67311.0
2014-03-23 00:00:00+00:00,140.952,141.886,140.728,141.492,89379.0
2014-03-24 00:00:00+00:00,141.48,141.596,140.696,141.388,94324.0
2014-03-25 00:00:00+00:00,141.38,141.508,140.502,140.654,81288.0
2014-03-26 00:00:00+00:00,140.654,141.04,140.18,140.396,103237.0
2014-03-27 00:00:00+00:00,140.408,141.653,139.96,141.405,85103.0
2014-03-30 00:00:00+00:00,141.716,142.605,141.322,142.129,94475.0
