date,open,high,low,close,volume
2014-01-01 00:00:00+00:00,1.65661,1.66032,1.64104,1.64518,108772.0
2014-01-02 00:00:00+00:00,1.6452,1.64744,1.63956,1.64194,68757.0
2014-01-05 00:00:00+00:00,1.63994,1.64339,1.63376,1.64058,69237.0
2014-01-06 00:00:00+00:00,1.64058,1.64386,1.63744,1.64021,58618.0
2014-01-07 00:00:00+00:00,1.64023,1.64718,1.63766,1.64484,64845.0
2014-01-08 00:00:00+00:00,1.64484,1.6498,1.64415,1.64811,62859.0
2014-01-09 00:00:00+00:00,1.64812,1.65172,1.63822,1.64831,69437.0
2014-01-12 00:00:00+00:00,1.6486,1.6508,1.63466,1.6383,61219.0
2014-01-13 00:00:00+00:00,1.6383,1.64644,1.63674,1.64396,61459.0
2014-01-14 00:00:00+00:00,1.64395,1.6444,1.63224,1.63712,67085.0
2014-01-15 00:00:00+00:00,1.63714,1.63836,1.63144,1.63538,64596.0
2014-01-16 00:00:00+00:00,1.6354,1.64588,1.63096,1.6423,65923.0
2014-01-19 00:00:00+00:00,1.64184,1.64523,1.63954,1.64282,42020.0
2014-01-20 00:00:00+00:00,1.64276,1.6486,1.63998,1.64764,59936.0
2014-01-21 00:00:00+00:00,1.64763,1.65872,1.64504,1.6574,64106.0
2014-01-22 00:00:00+00:00,1.6574,1.66438,1.65574,1.66372,76709.0
2014-01-23 00:00:00+00:00,1.66372,1.66686,1.64792,1.64844,80806.0
2014-01-26 00:00:00+00:00,1.65062,1.65885,1.64754,1.65844,66612.0
2014-01-27 00:00:00+00:00,1.65844,1.66254,1.65359,1.65788,60140.0
2014-01-28 00:00:00+00:00,1.65788,1.66067,1.65258,1.65631,75857.0
2014-01-29 00:00:00+00:00,1.65634,1.65665,1.64444,1.64852,68536.0
2014-01-30 00:00:00+00:00,1.6485,1.64982,1.64272,1.64412,72701.0
2014-02-02 00:00:00+00:00,1.64244,1.64408,1.62903,1.63042,77751.0
2014-02-03 00:00:00+00:00,1.6304,1.63448,1.6257,1.63255,68927.0
2014-02-04 00:00:00+00:00,1.63254,1.63414,1.62522,1.63096,73129.0
2014-02-05 00:00:00+00:00,1.6309,1.63484,1.62728,1.63226,73905.0
2014-02-06 00:00:00+00:00,1.63228,1.64185,1.62992,1.64121,68871.0
2014-02-09 00:00:00+00:00,1.63983,1.64276,1.63828,1.64026,44737.0
2014-02-10 00:00:00+00:00,1.64018,1.64877,1.63932,1.64502,61783.0
2014-02-11 00:00:00+00:00,1.64493,1.66,1.64259,1.65952,74859.0
2014-02-12 00:00:00+00:00,1.65957,1.66737,1.65948,1.66588,69605.0
2014-02-13 00:00:00+00:00,1.66581,1.67558,1.66449,1.67472,55982.0
2014-02-16 00:00:00+00:00,1.6769,1.68227,1.66958,1.67141,54231.0
2014-02-17 00:00:00+00:00,1.6714,1.67417,1.66546,1.66839,65933.0
2014-02-18 00:00:00+00:00,1.66831,1.67338,1.6637,1.66789,58612.0
2014-02-19 00:00:00+00:00,1.66794,1.67006,1.66251,1.66509,62907.0
2014-02-20 00:00:00+00:00,1.66508,1.6725,1.6612,1.66166,67353.0
2014-02-23 00:00:00+00:00,1.66282,1.6679,1.65836,1.66531,59116.0
2014-02-24 00:00:00+00:00,1.66532,1.6727,1.66416,1.66811,66072.0
2014-02-25 00:00:00+00:00,1.66804,1.6703,1.6622,1.66722,63081.0
2014-02-26 00:00:00+00:00,1.66691,1.66992,1.66163,1.6688,53427.0
2014-02-27 00:00:00+00:00,1.66872,1.67689,1.66763,1.67438,78272.0
2014-03-02 00:00:00+00:00,1.67156,1.67516,1.66534,1.66664,70502.0
2014-03-03 00:00:00+00:00,1.66649,1.67168,1.66406,1.66642,55230.0
2014-03-04 00:00:00+00:00,1.66668,1.67418,1.66569,1.67228,57520.0
2014-03-05 00:00:00+00:00,1.67226,1.6778,1.66858,1.67394,68689.0
2014-03-06 00:00:00+00:00,1.67384,1.6786,1.67065,1.67166,56287.0
2014-03-09 00:00:00+00:00,1.673,1.67412,1.66221,1.66456,48354.0
2014-03-10 00:00:00+00:00,1.66456,1.66534,1.65968,1.6617,47679.0
2014-03-11 00:00:00+00:00,1.66164,1.66358,1.65688,1.66177,54393.0
2014-03-12 00:00:00+00:00,1.66222,1.6718,1.66066,1.6624,68542.0
2014-03-13 00:00:00+00:00,1.66232,1.66494,1.65874,1.66486,61696.0
2014-03-16 00:00:00+00:00,1.6639,1.66658,1.66051,1.66366,42310.0
2014-03-17 00:00:00+00:00,1.6637,1.66475,1.6546,1.65922,56263.0
2014-03-18 00:00:00+00:00,1.65878,1.66542,1.65081,1.65408,72783.0
2014-03-19 00:00:00+00:00,1.65408,1.65684,1.64805,1.65042,57326.0
2014-03-20 00:00:00+00:00,1.6504,1.65206,1.64754,1.64886,43317.0
2014-03-23 00:00:00+00:00,1.64612,1.65364,1.64601,1.64979,49036.0
2014-03-24 00:00:00+00:00,1.6498,1.65496,1.64809,1.6529,58669.0
2014-03-25 00:00:00+00:00,1.65296,1.65972,1.65095,1.65847,55230.0
2014-03-26 00:00:00+00:00,1.65839,1.66472,1.65555,1.6611,58977.0
2014-03-27 00:00:00+00:00,1.66112,1.66515,1.65976,1.66394,51587.0
2014-03-30 00:00:00+00:00,1.66583,1.66843,1.66118,1.66638,58921.0
2014-03-31 00:00:00+00:00,1.6663,1.66748,1.66182,1.6629,46565.0
2014-04-01 00:00:00+00:00,1.66298,1.66643,1.66207,1.66258,46659.0
2014-04-02 00:00:00+00:00,1.66268,1.6661,1.65702,1.65977,64211.0
2014-04-03 00:00:00+00:00,1.65972,1.6606,1.65526,1.65764,54727.0
2014-04-06 00:00:00+00:00,1.65759,1.66242,1.65654,1.66062,37537.0
2014-04-07 00:00:00+00:00,1.6607,1.67549,1.6606,1.67482,52061.0
2014-04-08 00:00:00+00:00,1.67468,1.68004,1.67243,1.67927,51895.0
2014-04-09 00:00:00+00:00,1.67916,1.68209,1.6754,1.6784,52809.0
2014-04-10 00:00:00+00:00,1.67788,1.67912,1.67172,1.67304,49810.0
2014-04-13 00:00:00+00:00,1.67196,1.67443,1.66966,1.67292,46329.0
2014-04-14 00:00:00+00:00,1.67284,1.6749,1.6659,1.6729,50216.0
2014-04-15 00:00:00+00:00,1.6729,1.6818,1.67199,1.67971,54044.0
2014-04-16 00:00:00+00:00,1.67941,1.68422,1.67872,1.67948,45369.0
2014-04-17 00:00:00+00:00,1.67938,1.68054,1.67744,1.67882,26296.0
2014-04-20 00:00:00+00:00,1.67918,1.68192,1.6783,1.67915,21507.0
2014-04-21 00:00:00+00:00,1.67915,1.68396,1.6786,1.68232,41356.0
2014-04-22 00:00:00+00:00,1.68234,1.6836,1.67624,1.67814,51657.0
2014-04-23 00:00:00+00:00,1.67815,1.68068,1.67656,1.68026,44015.0
2014-04-24 00:00:00+00:00,1.68014,1.68303,1.67902,1.68034,36708.0
2014-04-27 00:00:00+00:00,1.68066,1.68576,1.6778,1.68076,46246.0
