time,open,high,low,close,volume,bid_close,ask_close,close_ema_14
2025-12-08T13:20:00Z,1.16546,1.16559,1.16526,1.16533,598.0,1.16525,1.16541,1.16533
2025-12-08T13:25:00Z,1.16532,1.16548,1.16505,1.16506,667.0,1.16499,1.16513,1.165294
2025-12-08T13:30:00Z,1.16505,1.16518,1.16474,1.16476,690.0,1.16468,1.16483,1.1652228
2025-12-08T13:35:00Z,1.16476,1.16484,1.16466,1.16478,524.0,1.1647,1.16485,1.16516376
2025-12-08T13:40:00Z,1.16477,1.16486,1.16456,1.16486,677.0,1.16479,1.16494,1.1651232586666667
2025-12-08T13:45:00Z,1.16486,1.16502,1.16483,1.16484,533.0,1.16477,1.16492,1.1650854908444446
2025-12-08T13:50:00Z,1.16484,1.16484,1.16462,1.16468,484.0,1.16459,1.16476,1.1650314253985186
2025-12-08T13:55:00Z,1.16465,1.16486,1.16463,1.16484,636.0,1.16476,1.16492,1.1650059020120496
2025-12-08T14:00:00Z,1.16484,1.16506,1.16477,1.16502,707.0,1.16494,1.16509,1.1650077817437763
2025-12-08T14:05:00Z,1.16501,1.16541,1.16498,1.16512,665.0,1.16504,1.16519,1.1650227441779395
2025-12-08T14:10:00Z,1.1651,1.16532,1.16509,1.1653,596.0,1.16523,1.16538,1.165059711620881
2025-12-08T14:15:00Z,1.1653,1.16548,1.16507,1.16518,565.0,1.1651,1.16525,1.1650757500714302
2025-12-08T14:20:00Z,1.16518,1.16532,1.16504,1.16506,670.0,1.16499,1.16514,1.165073650061906
2025-12-08T14:25:00Z,1.16508,1.16528,1.16506,1.16516,611.0,1.16508,1.16523,1.1650851633869854
2025-12-08T14:30:00Z,1.16516,1.16523,1.1649,1.16502,850.0,1.16494,1.16511,1.1650764749353875
2025-12-08T14:35:00Z,1.16504,1.16508,1.16459,1.16478,799.0,1.1647,1.16486,1.1650369449440026
2025-12-08T14:40:00Z,1.16478,1.165,1.16472,1.16494,847.0,1.16486,1.16502,1.165024018951469
2025-12-08T14:45:00Z,1.16494,1.16496,1.16467,1.1648,1091.0,1.16471,1.16488,1.1649941497579397
2025-12-08T14:50:00Z,1.1648,1.16488,1.16378,1.16402,1420.0,1.16394,1.16411,1.1648642631235477
2025-12-08T14:55:00Z,1.16403,1.16432,1.16392,1.16402,1360.0,1.16394,1.16411,1.1647516947070748
2025-12-08T15:00:00Z,1.16402,1.16402,1.16343,1.16364,1244.0,1.16356,1.16373,1.1646034687461315
2025-12-08T15:05:00Z,1.16363,1.16363,1.16322,1.16322,981.0,1.16315,1.1633,1.1644190062466473
2025-12-08T15:10:00Z,1.16322,1.16354,1.16304,1.16306,805.0,1.16298,1.16314,1.164237805413761
2025-12-08T15:15:00Z,1.16306,1.16306,1.16246,1.16259,1150.0,1.16251,1.16267,1.1640180980252595
2025-12-08T15:20:00Z,1.16258,1.16306,1.16254,1.16294,746.0,1.16287,1.16302,1.1638743516218917
2025-12-08T15:25:00Z,1.16295,1.16304,1.16256,1.16268,767.0,1.1626,1.16277,1.1637151047389729
2025-12-08T15:30:00Z,1.16268,1.16275,1.1625,1.16262,490.0,1.16255,1.1627,1.1635690907737766
2025-12-08T15:35:00Z,1.16265,1.16276,1.16208,1.16209,715.0,1.16201,1.16217,1.1633718786706064
2025-12-08T15:40:00Z,1.16211,1.16228,1.16172,1.16224,1050.0,1.16216,1.16233,1.1632209615145257
2025-12-08T15:45:00Z,1.16224,1.16261,1.16224,1.1625,706.0,1.16242,1.16257,1.163124833312589
2025-12-08T15:50:00Z,1.16249,1.16274,1.16209,1.16269,841.0,1.16261,1.16277,1.1630668555375772
2025-12-08T15:55:00Z,1.16268,1.16269,1.16229,1.16251,871.0,1.16244,1.16258,1.162992608132567
2025-12-08T16:00:00Z,1.16251,1.16261,1.16202,1.16202,838.0,1.16194,1.16211,1.1628629270482247
2025-12-08T16:05:00Z,1.16203,1.16244,1.16203,1.16228,662.0,1.1622,1.16236,1.1627852034417947
2025-12-08T16:10:00Z,1.16225,1.16273,1.16222,1.1627,475.0,1.16262,1.16279,1.1627738429828889
2025-12-08T16:15:00Z,1.1627,1.1627,1.16243,1.16246,640.0,1.16237,1.16254,1.162731997251837
2025-12-08T16:20:00Z,1.16246,1.16246,1.16167,1.16167,605.0,1.16158,1.16176,1.1625903976182588
2025-12-08T16:25:00Z,1.16166,1.16199,1.16165,1.16192,600.0,1.16184,1.16199,1.1625010112691576
2025-12-08T16:30:00Z,1.16193,1.16254,1.16192,1.1625,641.0,1.16242,1.16257,1.16250087643327
2025-12-08T16:35:00Z,1.16251,1.16258,1.16224,1.16236,582.0,1.16228,1.16244,1.162482092908834
2025-12-08T16:40:00Z,1.16234,1.16288,1.1623,1.16266,695.0,1.16257,1.16274,1.1625058138543227
2025-12-08T16:45:00Z,1.16267,1.16268,1.16241,1.16247,610.0,1.16239,1.16255,1.1625010386737464
2025-12-08T16:50:00Z,1.16248,1.16256,1.16214,1.16232,640.0,1.16224,1.1624,1.1624769001839137
2025-12-08T16:55:00Z,1.16232,1.16254,1.16205,1.16248,574.0,1.1624,1.16257,1.1624773134927253
2025-12-08T17:00:00Z,1.16251,1.16252,1.16212,1.16216,640.0,1.16208,1.16225,1.1624350050270287
2025-12-08T17:05:00Z,1.16217,1.16228,1.162,1.16216,541.0,1.16209,1.16224,1.1623983376900915
2025-12-08T17:10:00Z,1.16217,1.16227,1.16206,1.16212,316.0,1.16205,1.1622,1.1623612259980793
2025-12-08T17:15:00Z,1.16212,1.16253,1.16212,1.16243,512.0,1.16235,1.16251,1.1623703958650022
2025-12-08T17:20:00Z,1.16242,1.16252,1.1623,1.1625,417.0,1.16242,1.16258,1.1623876764163352
2025-12-08T17:25:00Z,1.1625,1.1625,1.16234,1.16245,538.0,1.16237,1.16253,1.1623959862274906
2025-12-08T17:30:00Z,1.16242,1.16278,1.16239,1.16248,553.0,1.1624,1.16256,1.1624071880638251
2025-12-08T17:35:00Z,1.16248,1.16262,1.16234,1.16258,534.0,1.1625,1.16267,1.162430229655315
2025-12-08T17:40:00Z,1.16258,1.16304,1.16253,1.163,429.0,1.16292,1.16307,1.1625061990346064
2025-12-08T17:45:00Z,1.163,1.1635,1.16298,1.16348,686.0,1.1634,1.16357,1.1626360391633255
2025-12-08T17:50:00Z,1.16349,1.16371,1.16343,1.1637,466.0,1.16362,1.16377,1.1627779006082155
