Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Interval,SMA_20,EMA_20,RSI,MACD_line,MACD_signal,MACD_hist,BB_upper,BB_lower
2010-06-29 00:00:00-04:00,1.2666670083999634,1.6666669845581055,1.1693329811096191,1.5926669836044312,281494500,0.0,0.0,TSLA,1d,,1.5926669836044312,,0.0,0.0,0.0,,
2010-06-30 00:00:00-04:00,1.7193330526351929,2.0280001163482666,1.553333044052124,1.5886670351028442,257806500,0.0,0.0,TSLA,1d,,1.5922860361280895,,-0.0003190842109528358,-6.381684219056716e-05,-0.00025526736876226865,,
2010-07-01 00:00:00-04:00,1.6666669845581055,1.7280000448226929,1.3513330221176147,1.4639999866485596,123282000,0.0,0.0,TSLA,1d,,1.5800683171300391,,-0.01051039241006424,-0.0021531319557653015,-0.008357260454298939,,
2010-07-02 00:00:00-04:00,1.5333329439163208,1.5399999618530273,1.24733304977417,1.2799999713897705,77097000,0.0,0.0,TSLA,1d,,1.55149037944049,,-0.03305332292961283,-0.008333170150534808,-0.02472015277907802,,
2010-07-06 00:00:00-04:00,1.3333330154418945,1.3333330154418945,1.0553330183029175,1.0740000009536743,103003500,0.0,0.0,TSLA,1d,,1.5060151052988884,,-0.0667715331101486,-0.020020842742457568,-0.04675069036769104,,
2010-07-07 00:00:00-04:00,1.0933330059051514,1.108667016029358,0.9986670017242432,1.053333044052124,103825500,0.0,0.0,TSLA,1d,,1.4629025280372918,,-0.09407665123108955,-0.03483200444018397,-0.059244646790905575,,
2010-07-08 00:00:00-04:00,1.0759999752044678,1.1679999828338623,1.0379999876022339,1.1640000343322754,115671000,0.0,0.0,TSLA,1d,,1.4344356238749094,,-0.10556931547750015,-0.04897946664764721,-0.056589848829852935,,
2010-07-09 00:00:00-04:00,1.1720000505447388,1.1933330297470093,1.1033329963684082,1.159999966621399,60759000,0.0,0.0,TSLA,1d,,1.4082988946126704,,-0.11368956420045584,-0.061921486158208944,-0.051768078042246896,,
2010-07-12 00:00:00-04:00,1.196666955947876,1.2046669721603394,1.1333329677581787,1.136667013168335,33037500,0.0,0.0,TSLA,1d,,1.3824291916179718,,-0.12061729308563196,-0.07366064754369356,-0.0469566455419384,,
2010-07-13 00:00:00-04:00,1.1593329906463623,1.2426669597625732,1.1266670227050781,1.2093329429626465,40201500,0.0,0.0,TSLA,1d,,1.365943834603179,,-0.11887373250682898,-0.08270326453632065,-0.036170467970508324,,
2010-07-14 00:00:00-04:00,1.1959999799728394,1.3433330059051514,1.184000015258789,1.3226670026779175,62928000,0.0,0.0,TSLA,1d,,1.3618222315626778,,-0.10711211495347905,-0.08758503461975234,-0.019527080333726715,,
2010-07-15 00:00:00-04:00,1.329332947731018,1.4333330392837524,1.2666670083999634,1.3259999752044678,56097000,0.0,0.0,TSLA,1d,,1.3584105880999913,,-0.09641064339299898,-0.08935015637440168,-0.007060487018597308,,
2010-07-16 00:00:00-04:00,1.3799999952316284,1.4199999570846558,1.3366669416427612,1.3760000467300415,39319500,0.0,0.0,TSLA,1d,,1.3600857746361865,,-0.08293899309265695,-0.08806792371805273,0.005128930625395781,,
2010-07-19 00:00:00-04:00,1.4246670007705688,1.4833329916000366,1.3946670293807983,1.4606670141220093,37297500,0.0,0.0,TSLA,1d,,1.3696649403015029,,-0.064685047531575,-0.08339134848075719,0.018706300949182186,,
2010-07-20 00:00:00-04:00,1.4566669464111328,1.4566669464111328,1.3366669416427612,1.3533329963684082,27379500,0.0,0.0,TSLA,1d,,1.3681095170697797,39.206236953882936,-0.05820862951925876,-0.0783548046884575,0.02014617516919874,,
2010-07-21 00:00:00-04:00,1.3773330450057983,1.3933329582214355,1.2999999523162842,1.3480000495910645,18787500,0.0,0.0,TSLA,1d,,1.3661943296908545,39.159154250564605,-0.05289658689333754,-0.07326316112943351,0.020366574236095975,,
2010-07-22 00:00:00-04:00,1.3666670322418213,1.4166669845581055,1.3580000400543213,1.399999976158142,14367000,0.0,0.0,TSLA,1d,,1.3694139150686913,46.915168114319506,-0.04398377773783935,-0.06740728445111469,0.02342350671327534,,
2010-07-23 00:00:00-04:00,1.4126670360565186,1.4373329877853394,1.4040000438690186,1.4193329811096191,9804000,0.0,0.0,TSLA,1d,,1.374168111834494,57.98317318857011,-0.03495733395620193,-0.06091729435213214,0.02595996039593021,,
2010-07-26 00:00:00-04:00,1.4333330392837524,1.4333330392837524,1.3533329963684082,1.3966670036315918,13833000,0.0,0.0,TSLA,1d,,1.3763108634342176,73.40429634505095,-0.029295071829733565,-0.054592849847652426,0.02529777801791886,,
2010-07-27 00:00:00-04:00,1.3940000534057617,1.4119999408721924,1.3506669998168945,1.3700000047683716,9295500,0.0,0.0,TSLA,1d,1.3247667014598847,1.3757098292755656,72.77088914128967,-0.026652261562133628,-0.04900473219054867,0.02235247062841504,1.6309618786795175,1.018571524240252
2010-07-28 00:00:00-04:00,1.3700000047683716,1.3933329582214355,1.3673330545425415,1.3813329935073853,7008000,0.0,0.0,TSLA,1d,1.3142000019550324,1.376245368726215,68.23266496666434,-0.023373898158911777,-0.04387856538422129,0.02050466722530951,1.5950013524462479,1.033398651463817
2010-07-29 00:00:00-04:00,1.3846670389175415,1.3919999599456787,1.3333330154418945,1.3566670417785645,9240000,0.0,0.0,TSLA,1d,1.3026000022888184,1.3743807661597722,65.94602818232272,-0.022506664882232075,-0.039604185283823444,0.01709752040159137,1.5532054753757394,1.0519945292018975
2010-07-30 00:00:00-04:00,1.3466670513153076,1.3626669645309448,1.303333044052124,1.329332947731018,6403500,0.0,0.0,TSLA,1d,1.2958666503429412,1.3700904977379862,65.5209052183194,-0.02375121993270346,-0.036433592213599444,0.012682372280895984,1.5351958333667324,1.05653746731915
2010-08-02 00:00:00-04:00,1.3666670322418213,1.3980000019073486,1.3553329706192017,1.3946670293807983,10771500,0.0,0.0,TSLA,1d,1.3016000032424926,1.3724311197992063,65.10873915140061,-0.01924379392972586,-0.03299563255682473,0.013751838627098868,1.544791507361787,1.0584084991231981
2010-08-03 00:00:00-04:00,1.399999976158142,1.463333010673523,1.3880000114440918,1.463333010673523,18457500,0.0,0.0,TSLA,1d,1.3210666537284852,1.3810884427396173,62.36806953669316,-0.010015404178346898,-0.028399586881129164,0.018384182702782265,1.5494254694863152,1.0927078379706552
2010-08-04 00:00:00-04:00,1.463333010673523,1.4786670207977295,1.3899999856948853,1.4173330068588257,13695000,0.0,0.0,TSLA,1d,1.33926665186882,1.3845403059890657,57.469990150603536,-0.006340564601335252,-0.023987782425170384,0.017647217823835132,1.533208006453697,1.1453252972839432
2010-08-05 00:00:00-04:00,1.4359999895095825,1.4366669654846191,1.3366669416427612,1.363332986831665,11943000,0.0,0.0,TSLA,1d,1.3492332994937897,1.3825205613074085,48.970714986883415,-0.007696853543434745,-0.020729596648823255,0.01303274310538851,1.5248747121831947,1.1735918868043846
2010-08-06 00:00:00-04:00,1.340000033378601,1.343999981880188,1.301332950592041,1.305999994277954,11128500,0.0,0.0,TSLA,1d,1.3565333008766174,1.3752328882569844,36.848019855274,-0.013245331709837771,-0.019232743661026157,0.0059874119511883865,1.5097659185400036,1.2033006832132311
2010-08-09 00:00:00-04:00,1.3266669511795044,1.3320000171661377,1.2966669797897339,1.3066669702529907,12190500,0.0,0.0,TSLA,1d,1.3650332987308502,1.3687028008280326,45.15240712236283,-0.017388279976563226,-0.018863850924133573,0.0014755709475703475,1.48131931996586,1.2487472774958404
2010-08-10 00:00:00-04:00,1.309999942779541,1.309999942779541,1.254667043685913,1.2686669826507568,19219500,0.0,0.0,TSLA,1d,1.3680000007152557,1.3591755800492447,42.282760354530055,-0.02346736062130894,-0.019784552863568648,-0.003682807757740294,1.469669665667773,1.2663303357627385
2010-08-11 00:00:00-04:00,1.246000051498413,1.2586669921875,1.190000057220459,1.1933330297470093,11964000,0.0,0.0,TSLA,1d,1.3615333020687104,1.3433810514490319,30.769193224767037,-0.033972284883772685,-0.022622099267609455,-0.01135018561616323,1.4886192902593511,1.2344473138780696
2010-08-12 00:00:00-04:00,1.1866669654846191,1.1933330297470093,1.1593329906463623,1.1733330488204956,10365000,0.0,0.0,TSLA,1d,1.3538999557495117,1.3271860035796474,27.137552234387627,-0.04341093017888609,-0.026779865449864784,-0.016631064729021303,1.5058749456292078,1.2019249658698157
2010-08-13 00:00:00-04:00,1.2120000123977661,1.2300000190734863,1.1773329973220825,1.2213330268859863,9510000,0.0,0.0,TSLA,1d,1.3461666047573089,1.3171047677040608,34.43783080539394,-0.04648211066209673,-0.030720314492311177,-0.015761796169785555,1.508775189118666,1.1835580203959517
