time,open,high,low,close,volume,bid_close,ask_close,close_ema_14
2025-11-11T08:35:00Z,154.331,154.362,154.318,154.342,624.0,154.334,154.35,154.342
2025-11-11T08:40:00Z,154.342,154.35,154.322,154.325,447.0,154.316,154.334,154.325
2025-11-11T08:45:00Z,154.324,154.346,154.312,154.336,649.0,154.328,154.344,154.32646666666668
2025-11-11T08:50:00Z,154.336,154.339,154.322,154.336,461.0,154.329,154.343,154.3277377777778
2025-11-11T08:55:00Z,154.338,154.39,154.338,154.381,876.0,154.373,154.389,154.33483940740743
2025-11-11T09:00:00Z,154.381,154.407,154.368,154.381,972.0,154.373,154.389,154.34099415308646
2025-11-11T09:05:00Z,154.383,154.383,154.361,154.368,348.0,154.361,154.376,154.34459493267494
2025-11-11T09:10:00Z,154.369,154.406,154.369,154.406,465.0,154.397,154.414,154.35278227498495
2025-11-11T09:15:00Z,154.406,154.443,154.403,154.407,595.0,154.399,154.415,154.36001130498695
2025-11-11T09:20:00Z,154.406,154.418,154.334,154.346,623.0,154.338,154.355,154.3581431309887
2025-11-11T09:25:00Z,154.346,154.346,154.33,154.336,513.0,154.328,154.344,154.35519071352354
2025-11-11T09:30:00Z,154.336,154.34,154.3,154.304,446.0,154.296,154.313,154.34836528505375
2025-11-11T09:35:00Z,154.303,154.328,154.288,154.29,544.0,154.283,154.296,154.3405832470466
2025-11-11T09:40:00Z,154.288,154.324,154.286,154.306,475.0,154.297,154.315,154.3359721474404
2025-11-11T09:45:00Z,154.304,154.334,154.287,154.334,283.0,154.325,154.343,154.33570919444836
2025-11-11T09:50:00Z,154.336,154.343,154.318,154.336,620.0,154.327,154.344,154.3357479685219
2025-11-11T09:55:00Z,154.336,154.344,154.311,154.331,501.0,154.322,154.34,154.33511490605233
2025-11-11T10:00:00Z,154.334,154.346,154.3,154.312,574.0,154.305,154.319,154.33203291857868
2025-11-11T10:05:00Z,154.312,154.363,154.312,154.347,544.0,154.339,154.355,154.33402852943485
2025-11-11T10:10:00Z,154.346,154.358,154.338,154.339,327.0,154.331,154.347,154.33469139217686
2025-11-11T10:15:00Z,154.338,154.339,154.304,154.304,483.0,154.297,154.311,154.3305992065533
2025-11-11T10:20:00Z,154.304,154.315,154.275,154.284,532.0,154.275,154.292,154.32438597901287
