time,open,high,low,close,volume,bid_close,ask_close,close_ema_14
2025-07-17T23:00:00Z,1.16172,1.16197,1.16148,1.16151,1767.0,1.16143,1.16159,1.16151
2025-07-18T00:00:00Z,1.16152,1.16276,1.16145,1.16246,4542.0,1.16238,1.16255,1.1616366666666667
2025-07-18T01:00:00Z,1.16247,1.16344,1.16202,1.1629,4472.0,1.16282,1.16299,1.161805111111111
2025-07-18T02:00:00Z,1.16289,1.16314,1.16243,1.16292,3231.0,1.16284,1.16301,1.161953762962963
2025-07-18T03:00:00Z,1.16292,1.16319,1.16222,1.16238,2829.0,1.1623,1.16246,1.1620105945679013
2025-07-18T04:00:00Z,1.1624,1.1624,1.16184,1.16192,2078.0,1.16185,1.162,1.1619985152921812
2025-07-18T05:00:00Z,1.16192,1.16205,1.16122,1.16171,3210.0,1.16163,1.16179,1.1619600465865572
2025-07-18T06:00:00Z,1.16171,1.16226,1.1612,1.16205,5331.0,1.16197,1.16213,1.1619720403750162
2025-07-18T07:00:00Z,1.16207,1.16312,1.162,1.1629,5579.0,1.16281,1.16298,1.162095768325014
2025-07-18T08:00:00Z,1.1629,1.16458,1.16282,1.16355,6646.0,1.16347,1.16363,1.1622896658816788
2025-07-18T09:00:00Z,1.16356,1.1643,1.16332,1.16336,4783.0,1.16328,1.16343,1.1624323770974552
2025-07-18T10:00:00Z,1.16334,1.16422,1.16322,1.164,4541.0,1.16393,1.16408,1.1626413934844613
2025-07-18T11:00:00Z,1.16402,1.16481,1.16398,1.16444,5440.0,1.16436,1.16453,1.1628812076865331
2025-07-18T12:00:00Z,1.16444,1.16586,1.16431,1.16564,8501.0,1.16555,1.16572,1.163249046661662
2025-07-18T13:00:00Z,1.16564,1.16678,1.16478,1.16667,9720.0,1.1666,1.16674,1.1637051737734405
2025-07-18T14:00:00Z,1.16671,1.16722,1.16446,1.16478,11261.0,1.1647,1.16487,1.1638484839369818
2025-07-18T15:00:00Z,1.1648,1.16579,1.16426,1.16446,7096.0,1.16438,1.16453,1.1639300194120508
2025-07-18T16:00:00Z,1.16447,1.16488,1.16264,1.16286,7686.0,1.16278,1.16294,1.1637873501571108
