time,open,high,low,close,volume,bid_close,ask_close,close_ema_14
2026-01-08T20:00:00Z,1.34309,1.3438,1.34298,1.34365,4632.0,1.34356,1.34374,1.34365
2026-01-08T21:00:00Z,1.34364,1.34456,1.34353,1.34402,3759.0,1.34387,1.34418,1.3436993333333334
2026-01-08T22:00:00Z,1.34363,1.34424,1.34334,1.34366,1667.0,1.34335,1.34396,1.3436940888888889
2026-01-08T23:00:00Z,1.34365,1.3441,1.34344,1.34358,1320.0,1.34349,1.34368,1.343678877037037
2026-01-09T00:00:00Z,1.3436,1.3437,1.34318,1.34324,4049.0,1.34314,1.34335,1.3436203600987655
2026-01-09T01:00:00Z,1.34325,1.34364,1.34269,1.34282,9101.0,1.34272,1.34291,1.3435136454189303
2026-01-09T02:00:00Z,1.34281,1.34338,1.34246,1.34326,7115.0,1.34316,1.34335,1.3434798260297396
2026-01-09T03:00:00Z,1.34326,1.34378,1.34312,1.34368,5928.0,1.34359,1.34378,1.343506515892441
2026-01-09T04:00:00Z,1.3437,1.3438,1.34316,1.34356,4475.0,1.34348,1.34365,1.3435136471067823
2026-01-09T05:00:00Z,1.34356,1.34382,1.34276,1.34302,5085.0,1.34293,1.34312,1.3434478274925448
2026-01-09T06:00:00Z,1.34302,1.34326,1.3425,1.34278,5703.0,1.34267,1.34288,1.3433587838268721
2026-01-09T07:00:00Z,1.34279,1.34294,1.34144,1.34292,7095.0,1.34282,1.34302,1.3433002793166224
2026-01-09T08:00:00Z,1.34294,1.34346,1.34118,1.34152,11128.0,1.34143,1.34161,1.3430629087410728
2026-01-09T09:00:00Z,1.34153,1.34209,1.34048,1.34103,8148.0,1.34094,1.34112,1.3427918542422632
2026-01-09T10:00:00Z,1.34102,1.34125,1.3404,1.34084,6842.0,1.34075,1.34094,1.3425316070099615
2026-01-09T11:00:00Z,1.34087,1.34145,1.34048,1.34132,8232.0,1.34124,1.34141,1.3423700594086334
2026-01-09T12:00:00Z,1.34133,1.34196,1.34097,1.34194,8790.0,1.34185,1.34203,1.342312718154149
2026-01-09T13:00:00Z,1.34196,1.34511,1.33977,1.34357,24063.0,1.34348,1.34366,1.3424803557335958
2026-01-09T14:00:00Z,1.34357,1.34434,1.34062,1.3413,26355.0,1.3411,1.34149,1.3423229749691163
2026-01-09T15:00:00Z,1.34124,1.34192,1.33926,1.3418,23512.0,1.34171,1.3419,1.3422532449732343
2026-01-09T16:00:00Z,1.3418,1.34228,1.34046,1.34106,14124.0,1.34096,1.34116,1.3420941456434698
2026-01-09T17:00:00Z,1.34107,1.34114,1.33982,1.3403,9883.0,1.3402,1.34039,1.3418549262243404
2026-01-09T18:00:00Z,1.34029,1.34146,1.33998,1.34058,6593.0,1.34049,1.34067,1.3416849360610952
2026-01-09T19:00:00Z,1.3406,1.34117,1.34034,1.34068,6265.0,1.34059,1.34077,1.3415509445862825
