time,open,high,low,close,volume,bid_close,ask_close,close_ema_14
2026-01-08T20:00:00Z,1.16502,1.16546,1.16498,1.16513,3507.0,1.16504,1.16522,1.16513
2026-01-08T21:00:00Z,1.16512,1.16628,1.16507,1.16589,2627.0,1.16579,1.16599,1.1652313333333333
2026-01-08T22:00:00Z,1.16574,1.16598,1.16568,1.16587,633.0,1.16576,1.16598,1.165316488888889
2026-01-08T23:00:00Z,1.16589,1.16622,1.16565,1.16581,824.0,1.16573,1.16589,1.1653822903703703
2026-01-09T00:00:00Z,1.1658,1.1658,1.16535,1.16538,1935.0,1.16529,1.16546,1.1653819849876543
2026-01-09T01:00:00Z,1.16536,1.16572,1.16484,1.16492,3684.0,1.16485,1.165,1.1653203869893005
2026-01-09T02:00:00Z,1.16493,1.16548,1.1646,1.16543,3211.0,1.16534,1.16552,1.1653350020573938
2026-01-09T03:00:00Z,1.16544,1.16592,1.16538,1.16562,3208.0,1.16554,1.16571,1.1653730017830746
2026-01-09T04:00:00Z,1.16562,1.1657,1.16519,1.16542,2111.0,1.16535,1.1655,1.165379268211998
2026-01-09T05:00:00Z,1.16542,1.16562,1.16501,1.16511,2271.0,1.16503,1.16519,1.1653433657837318
2026-01-09T06:00:00Z,1.16512,1.16528,1.16484,1.1649,3281.0,1.16481,1.16498,1.165284250345901
2026-01-09T07:00:00Z,1.1649,1.16508,1.164,1.16508,4552.0,1.16499,1.16516,1.1652570169664476
2026-01-09T08:00:00Z,1.16508,1.1653,1.16412,1.16492,5657.0,1.16484,1.16501,1.1652120813709212
2026-01-09T09:00:00Z,1.16492,1.16503,1.16423,1.16426,3817.0,1.16417,1.16434,1.1650851371881317
2026-01-09T10:00:00Z,1.16424,1.16468,1.1637,1.16467,3742.0,1.16459,1.16475,1.1650297855630476
2026-01-09T11:00:00Z,1.16468,1.1647,1.16417,1.16461,3121.0,1.16453,1.16469,1.1649738141546413
2026-01-09T12:00:00Z,1.16462,1.16462,1.16398,1.16414,4440.0,1.16407,1.16422,1.1648626389340224
2026-01-09T13:00:00Z,1.16415,1.16608,1.16256,1.16452,16711.0,1.16444,1.1646,1.1648169537428195
2026-01-09T14:00:00Z,1.1645,1.16526,1.163,1.16366,14921.0,1.16359,1.16373,1.164662693243777
2026-01-09T15:00:00Z,1.16364,1.1641,1.16182,1.16405,13107.0,1.16397,1.16413,1.1645810008112734
2026-01-09T16:00:00Z,1.16406,1.16434,1.16282,1.16332,6785.0,1.16324,1.1634,1.1644128673697702
2026-01-09T17:00:00Z,1.16332,1.16346,1.16276,1.16316,4984.0,1.16309,1.16324,1.1642458183871343
2026-01-09T18:00:00Z,1.16318,1.164,1.1631,1.1634,3278.0,1.16332,1.16349,1.164133042602183
2026-01-09T19:00:00Z,1.16341,1.16389,1.16332,1.16348,3038.0,1.1634,1.16356,1.1640459702552253
2026-01-09T20:00:00Z,1.16348,1.16379,1.16341,1.16347,1927.0,1.16339,1.16355,1.163969174221195
2026-01-09T21:00:00Z,1.16348,1.16368,1.16296,1.16364,1610.0,1.1633,1.16399,1.1639252843250356
2026-01-11T22:00:00Z,1.1633,1.1635,1.16316,1.16332,540.0,1.16282,1.16382,1.1638445797483643
2026-01-11T23:00:00Z,1.16336,1.16354,1.16231,1.16238,1050.0,1.1623,1.16245,1.1636493024485823
2026-01-12T00:00:00Z,1.16237,1.16651,1.16217,1.16649,7873.0,1.16641,1.16657,1.1640280621221046
2026-01-12T01:00:00Z,1.16649,1.16714,1.16556,1.16562,6631.0,1.16553,1.1657,1.164240320505824
2026-01-12T02:00:00Z,1.16562,1.16644,1.16538,1.16548,3666.0,1.16538,1.16557,1.1644056111050476
2026-01-12T03:00:00Z,1.16547,1.16593,1.16547,1.16552,2391.0,1.16544,1.16561,1.1645541962910413
2026-01-12T04:00:00Z,1.16553,1.16584,1.1653,1.16557,1954.0,1.16549,1.16565,1.164689636785569
2026-01-12T05:00:00Z,1.16559,1.16712,1.16558,1.16692,2939.0,1.16685,1.167,1.1649870185474933
2026-01-12T06:00:00Z,1.16691,1.16731,1.16643,1.16698,3545.0,1.1669,1.16706,1.1652527494078275
2026-01-12T07:00:00Z,1.16698,1.16878,1.16686,1.1685,6848.0,1.16842,1.16858,1.1656857161534504
2026-01-12T08:00:00Z,1.16848,1.16918,1.16759,1.16881,7107.0,1.16873,1.16889,1.1661022873329903
2026-01-12T09:00:00Z,1.1688,1.16959,1.16812,1.16818,5276.0,1.1681,1.16827,1.1663793156885915
2026-01-12T10:00:00Z,1.1682,1.16856,1.1676,1.16854,4467.0,1.16847,1.16862,1.1666674069301126
2026-01-12T11:00:00Z,1.16855,1.16895,1.16756,1.16786,4353.0,1.16778,1.16794,1.1668264193394309
2026-01-12T12:00:00Z,1.16786,1.16876,1.16772,1.16813,4872.0,1.16805,1.16821,1.1670002300941733
2026-01-12T13:00:00Z,1.16814,1.16985,1.16779,1.16929,7508.0,1.16921,1.16937,1.1673055327482835
2026-01-12T14:00:00Z,1.16928,1.1693,1.1674,1.16768,8823.0,1.1676,1.16777,1.1673554617151791
2026-01-12T15:00:00Z,1.16768,1.1686,1.16729,1.16812,6665.0,1.16805,1.1682,1.1674574001531552
2026-01-12T16:00:00Z,1.16812,1.16822,1.16713,1.16718,5640.0,1.16709,1.16727,1.167420413466068
2026-01-12T17:00:00Z,1.16718,1.1676,1.16661,1.16686,5020.0,1.16678,1.16694,1.1673456916705922
2026-01-12T18:00:00Z,1.16686,1.16716,1.16653,1.1669,2985.0,1.16682,1.16698,1.1672862661145134
2026-01-12T19:00:00Z,1.16688,1.1674,1.1668,1.16721,2403.0,1.16713,1.16729,1.167276097299245
2026-01-12T20:00:00Z,1.16722,1.16734,1.16631,1.16652,2629.0,1.16644,1.16661,1.1671752843260124
2026-01-12T21:00:00Z,1.16651,1.16691,1.16644,1.16668,1289.0,1.16659,1.16676,1.1671092464158774
2026-01-12T22:00:00Z,1.167,1.16704,1.16674,1.16688,1337.0,1.16675,1.167,1.1670786802270938
2026-01-12T23:00:00Z,1.16688,1.16709,1.16656,1.16676,1694.0,1.16667,1.16684,1.167036189530148
2026-01-13T00:00:00Z,1.16674,1.16676,1.16608,1.16636,2750.0,1.16629,1.16644,1.1669460309261284
