time,open,high,low,close,volume,bid_close,ask_close
2025-11-19T18:15:00.000000000Z,1.15333,1.15346,1.1533,1.15335,314,1.15327,1.15343
2025-11-19T18:20:00.000000000Z,1.15332,1.15338,1.15318,1.1533,264,1.15322,1.15337
2025-11-19T18:25:00.000000000Z,1.15328,1.15343,1.15326,1.15333,343,1.15325,1.15341
2025-11-19T18:30:00.000000000Z,1.15332,1.15344,1.15322,1.15326,370,1.15317,1.15334
2025-11-19T18:35:00.000000000Z,1.15325,1.15349,1.15314,1.15347,429,1.1534,1.15354
2025-11-19T18:40:00.000000000Z,1.15348,1.1536,1.15335,1.15358,462,1.1535,1.15366
2025-11-19T18:45:00.000000000Z,1.15358,1.15376,1.15338,1.15342,542,1.15333,1.1535
2025-11-19T18:50:00.000000000Z,1.1534,1.1535,1.1533,1.15333,367,1.15325,1.15341
2025-11-19T18:55:00.000000000Z,1.15334,1.15338,1.15296,1.15299,397,1.15289,1.15309
2025-11-19T19:00:00.000000000Z,1.153,1.15311,1.1524,1.1525,1183,1.15242,1.15259
2025-11-19T19:05:00.000000000Z,1.15251,1.1527,1.15178,1.15241,1099,1.15233,1.15249
2025-11-19T19:10:00.000000000Z,1.15239,1.15255,1.15232,1.15235,660,1.15227,1.15243
2025-11-19T19:15:00.000000000Z,1.15236,1.15258,1.15223,1.15234,641,1.15226,1.15242
2025-11-19T19:20:00.000000000Z,1.15234,1.15244,1.1522,1.15228,513,1.15219,1.15236
2025-11-19T19:25:00.000000000Z,1.15228,1.15259,1.15222,1.15241,572,1.15233,1.15249
2025-11-19T19:30:00.000000000Z,1.15242,1.15265,1.15222,1.15264,537,1.15257,1.15271
2025-11-19T19:35:00.000000000Z,1.15264,1.15264,1.15242,1.15243,498,1.15235,1.15251
2025-11-19T19:40:00.000000000Z,1.15241,1.15246,1.15228,1.15232,689,1.15225,1.15239
2025-11-19T19:45:00.000000000Z,1.15231,1.15234,1.15218,1.15222,629,1.15214,1.15229
2025-11-19T19:50:00.000000000Z,1.15222,1.15223,1.15194,1.15202,567,1.15193,1.1521
2025-11-19T19:55:00.000000000Z,1.152,1.15216,1.15183,1.1521,849,1.15202,1.15219
2025-11-19T20:00:00.000000000Z,1.15211,1.15237,1.15202,1.15232,387,1.15225,1.15239
2025-11-19T20:05:00.000000000Z,1.15232,1.15249,1.15232,1.15247,352,1.15239,1.15255
2025-11-19T20:10:00.000000000Z,1.15248,1.15272,1.15246,1.15272,400,1.15264,1.15279
2025-11-19T20:15:00.000000000Z,1.15271,1.15282,1.15265,1.1528,396,1.15271,1.15289
2025-11-19T20:20:00.000000000Z,1.1528,1.15282,1.15258,1.15268,449,1.1526,1.15276
2025-11-19T20:25:00.000000000Z,1.15268,1.15286,1.15266,1.15272,459,1.15265,1.1528
2025-11-19T20:30:00.000000000Z,1.15272,1.15274,1.15262,1.15273,379,1.15265,1.15281
2025-11-19T20:35:00.000000000Z,1.15276,1.15276,1.1526,1.1527,418,1.15263,1.15278
2025-11-19T20:40:00.000000000Z,1.15271,1.15282,1.15268,1.1528,277,1.15272,1.15288
2025-11-19T20:45:00.000000000Z,1.1528,1.1528,1.15262,1.15264,232,1.15256,1.15272
2025-11-19T20:50:00.000000000Z,1.15264,1.15278,1.15256,1.15271,392,1.15263,1.15279
2025-11-19T20:55:00.000000000Z,1.15272,1.15285,1.15262,1.15263,396,1.15256,1.1527
2025-11-19T21:00:00.000000000Z,1.15263,1.15264,1.1525,1.15254,234,1.15246,1.15263
2025-11-19T21:05:00.000000000Z,1.15255,1.15267,1.1525,1.1526,131,1.15252,1.15269
2025-11-19T21:10:00.000000000Z,1.1526,1.15264,1.15246,1.15246,135,1.15237,1.15255
2025-11-19T21:15:00.000000000Z,1.15246,1.15251,1.15233,1.15246,187,1.15237,1.15254
2025-11-19T21:20:00.000000000Z,1.15244,1.15256,1.1523,1.15255,354,1.15247,1.15263
2025-11-19T21:25:00.000000000Z,1.15254,1.15281,1.15253,1.15278,256,1.1527,1.15285
