time,open,high,low,close,volume,bid_close,ask_close
2025-11-19T18:15:00.000000000Z,156.804,156.816,156.786,156.808,803,156.8,156.815
2025-11-19T18:20:00.000000000Z,156.808,156.845,156.808,156.832,804,156.824,156.841
2025-11-19T18:25:00.000000000Z,156.833,156.838,156.81,156.816,856,156.808,156.824
2025-11-19T18:30:00.000000000Z,156.816,156.839,156.796,156.834,991,156.826,156.843
2025-11-19T18:35:00.000000000Z,156.833,156.85,156.818,156.827,1200,156.82,156.834
2025-11-19T18:40:00.000000000Z,156.826,156.832,156.782,156.787,1296,156.778,156.796
2025-11-19T18:45:00.000000000Z,156.788,156.788,156.691,156.734,1329,156.725,156.743
2025-11-19T18:50:00.000000000Z,156.734,156.77,156.723,156.768,832,156.759,156.777
2025-11-19T18:55:00.000000000Z,156.767,156.81,156.756,156.808,729,156.798,156.818
2025-11-19T19:00:00.000000000Z,156.804,156.92,156.778,156.908,1914,156.9,156.917
2025-11-19T19:05:00.000000000Z,156.909,156.928,156.863,156.874,1768,156.865,156.882
2025-11-19T19:10:00.000000000Z,156.875,156.888,156.841,156.88,1227,156.87,156.889
2025-11-19T19:15:00.000000000Z,156.88,156.898,156.875,156.89,1058,156.882,156.897
2025-11-19T19:20:00.000000000Z,156.891,156.899,156.876,156.894,863,156.886,156.903
2025-11-19T19:25:00.000000000Z,156.893,156.897,156.852,156.889,1002,156.882,156.896
2025-11-19T19:30:00.000000000Z,156.89,156.915,156.852,156.866,1226,156.859,156.872
2025-11-19T19:35:00.000000000Z,156.865,156.959,156.865,156.956,680,156.949,156.963
2025-11-19T19:40:00.000000000Z,156.956,156.974,156.931,156.971,1049,156.963,156.979
2025-11-19T19:45:00.000000000Z,156.972,156.989,156.963,156.982,948,156.974,156.989
2025-11-19T19:50:00.000000000Z,156.982,157.016,156.974,157.002,1153,156.994,157.011
2025-11-19T19:55:00.000000000Z,157.002,157.04,157.002,157.032,1448,157.024,157.041
2025-11-19T20:00:00.000000000Z,157.033,157.052,156.986,156.998,1191,156.989,157.006
2025-11-19T20:05:00.000000000Z,156.997,157.017,156.975,156.992,1189,156.984,157.0
2025-11-19T20:10:00.000000000Z,156.992,156.997,156.966,156.968,801,156.961,156.974
2025-11-19T20:15:00.000000000Z,156.969,156.992,156.963,156.98,793,156.974,156.986
2025-11-19T20:20:00.000000000Z,156.98,157.006,156.98,156.992,898,156.984,157.001
2025-11-19T20:25:00.000000000Z,156.992,156.994,156.977,156.989,992,156.98,156.998
2025-11-19T20:30:00.000000000Z,156.991,157.008,156.987,156.996,493,156.987,157.006
2025-11-19T20:35:00.000000000Z,156.997,157.01,156.973,156.976,636,156.968,156.985
2025-11-19T20:40:00.000000000Z,156.978,157.002,156.969,156.98,611,156.972,156.988
2025-11-19T20:45:00.000000000Z,156.98,156.992,156.974,156.981,536,156.972,156.99
2025-11-19T20:50:00.000000000Z,156.98,156.99,156.964,156.975,649,156.966,156.984
2025-11-19T20:55:00.000000000Z,156.974,156.978,156.942,156.964,949,156.955,156.972
2025-11-19T21:00:00.000000000Z,156.963,157.01,156.963,157.008,870,157.0,157.016
2025-11-19T21:05:00.000000000Z,157.01,157.024,157.0,157.02,460,157.012,157.027
2025-11-19T21:10:00.000000000Z,157.02,157.046,157.02,157.046,584,157.037,157.054
2025-11-19T21:15:00.000000000Z,157.046,157.07,157.01,157.046,523,157.036,157.055
2025-11-19T21:20:00.000000000Z,157.049,157.151,157.025,157.078,1771,157.071,157.086
2025-11-19T21:25:00.000000000Z,157.076,157.086,157.022,157.07,1197,157.06,157.079
2025-11-19T21:30:00.000000000Z,157.07,157.143,157.069,157.118,617,157.11,157.127
2025-11-19T21:35:00.000000000Z,157.118,157.152,157.114,157.129,467,157.121,157.137
2025-11-19T21:40:00.000000000Z,157.13,157.164,157.124,157.162,452,157.152,157.173
2025-11-19T21:45:00.000000000Z,157.163,157.186,157.148,157.177,543,157.168,157.186
2025-11-19T21:50:00.000000000Z,157.176,157.184,157.169,157.179,732,157.169,157.189
2025-11-19T21:55:00.000000000Z,157.178,157.184,157.156,157.169,721,157.154,157.184
2025-11-19T22:00:00.000000000Z,157.144,157.144,157.144,157.144,1,157.131,157.158
2025-11-19T22:05:00.000000000Z,157.144,157.145,157.054,157.056,79,157.03,157.083
2025-11-19T22:10:00.000000000Z,157.056,157.106,157.048,157.099,72,157.061,157.137
2025-11-19T22:15:00.000000000Z,157.1,157.122,157.1,157.119,94,157.078,157.16
2025-11-19T22:20:00.000000000Z,157.118,157.13,157.115,157.125,85,157.099,157.151
2025-11-19T22:25:00.000000000Z,157.126,157.129,157.102,157.109,126,157.093,157.125
2025-11-19T22:30:00.000000000Z,157.108,157.108,157.082,157.093,135,157.068,157.118
2025-11-19T22:35:00.000000000Z,157.084,157.101,157.08,157.085,162,157.066,157.104
2025-11-19T22:40:00.000000000Z,157.084,157.09,157.068,157.072,772,157.052,157.091
2025-11-19T22:45:00.000000000Z,157.072,157.088,157.072,157.076,194,157.057,157.096
2025-11-19T22:50:00.000000000Z,157.08,157.09,157.077,157.084,152,157.073,157.096
2025-11-19T22:55:00.000000000Z,157.086,157.089,157.07,157.084,144,157.073,157.094
2025-11-19T23:00:00.000000000Z,157.083,157.156,156.99,157.12,844,157.11,157.131
2025-11-19T23:05:00.000000000Z,157.12,157.122,157.062,157.064,348,157.053,157.075
2025-11-19T23:10:00.000000000Z,157.064,157.078,157.046,157.061,499,157.051,157.071
2025-11-19T23:15:00.000000000Z,157.062,157.062,157.02,157.024,337,157.015,157.033
2025-11-19T23:20:00.000000000Z,157.024,157.054,156.997,157.034,494,157.024,157.044
2025-11-19T23:25:00.000000000Z,157.034,157.038,157.012,157.038,302,157.028,157.048
2025-11-19T23:30:00.000000000Z,157.044,157.08,157.02,157.02,451,157.012,157.029
2025-11-19T23:35:00.000000000Z,157.021,157.077,157.014,157.076,473,157.07,157.082
2025-11-19T23:40:00.000000000Z,157.076,157.076,157.035,157.061,463,157.053,157.069
2025-11-19T23:45:00.000000000Z,157.06,157.086,157.029,157.038,552,157.029,157.047
2025-11-19T23:50:00.000000000Z,157.038,157.049,157.012,157.014,314,157.008,157.021
2025-11-19T23:55:00.000000000Z,157.014,157.025,156.985,156.998,261,156.99,157.007
2025-11-20T00:00:00.000000000Z,156.999,157.041,156.886,156.929,1287,156.92,156.938
2025-11-20T00:05:00.000000000Z,156.929,157.029,156.899,156.901,1410,156.892,156.91
2025-11-20T00:10:00.000000000Z,156.902,156.956,156.886,156.917,877,156.907,156.927
2025-11-20T00:15:00.000000000Z,156.92,156.966,156.88,156.958,1010,156.949,156.968
2025-11-20T00:20:00.000000000Z,156.958,157.055,156.944,157.038,941,157.029,157.047
2025-11-20T00:25:00.000000000Z,157.04,157.182,157.04,157.176,1021,157.167,157.184
2025-11-20T00:30:00.000000000Z,157.174,157.177,157.08,157.114,1344,157.104,157.125
2025-11-20T00:35:00.000000000Z,157.112,157.184,157.112,157.118,1400,157.11,157.125
2025-11-20T00:40:00.000000000Z,157.117,157.176,157.079,157.166,1321,157.156,157.177
2025-11-20T00:45:00.000000000Z,157.166,157.18,157.11,157.121,1503,157.113,157.129
2025-11-20T00:50:00.000000000Z,157.12,157.188,157.072,157.185,2604,157.176,157.194
2025-11-20T00:55:00.000000000Z,157.183,157.212,157.078,157.078,1620,157.072,157.084
2025-11-20T01:00:00.000000000Z,157.077,157.123,157.038,157.088,1079,157.079,157.097
2025-11-20T01:05:00.000000000Z,157.089,157.118,157.076,157.09,595,157.081,157.098
2025-11-20T01:10:00.000000000Z,157.091,157.111,157.067,157.103,772,157.094,157.112
2025-11-20T01:15:00.000000000Z,157.102,157.124,157.084,157.098,744,157.09,157.107
2025-11-20T01:20:00.000000000Z,157.099,157.125,157.041,157.051,622,157.043,157.059
2025-11-20T01:25:00.000000000Z,157.053,157.18,157.052,157.14,1039,157.132,157.148
2025-11-20T01:30:00.000000000Z,157.14,157.17,157.037,157.123,2145,157.114,157.132
2025-11-20T01:35:00.000000000Z,157.124,157.231,157.114,157.143,1547,157.135,157.151
2025-11-20T01:40:00.000000000Z,157.144,157.297,157.144,157.288,1652,157.281,157.296
2025-11-20T01:45:00.000000000Z,157.289,157.338,157.268,157.312,1347,157.303,157.322
2025-11-20T01:50:00.000000000Z,157.311,157.429,157.31,157.389,1489,157.38,157.398
2025-11-20T01:55:00.000000000Z,157.388,157.437,157.372,157.424,1152,157.416,157.433
2025-11-20T02:00:00.000000000Z,157.425,157.459,157.408,157.438,1378,157.429,157.447
2025-11-20T02:05:00.000000000Z,157.438,157.476,157.414,157.462,1069,157.453,157.471
2025-11-20T02:10:00.000000000Z,157.462,157.466,157.333,157.415,1514,157.407,157.423
2025-11-20T02:15:00.000000000Z,157.414,157.443,157.376,157.442,1367,157.435,157.449
2025-11-20T02:20:00.000000000Z,157.442,157.477,157.382,157.408,1193,157.398,157.417
2025-11-20T02:25:00.000000000Z,157.408,157.419,157.378,157.397,803,157.388,157.406
2025-11-20T02:30:00.000000000Z,157.396,157.405,157.33,157.336,844,157.327,157.344
2025-11-20T02:35:00.000000000Z,157.335,157.361,157.289,157.324,699,157.315,157.332
2025-11-20T02:40:00.000000000Z,157.324,157.352,157.308,157.349,874,157.339,157.359
2025-11-20T02:45:00.000000000Z,157.35,157.35,157.319,157.324,695,157.315,157.334
2025-11-20T02:50:00.000000000Z,157.324,157.352,157.305,157.348,504,157.34,157.357
2025-11-20T02:55:00.000000000Z,157.35,157.35,157.306,157.316,689,157.309,157.324
