time,open,high,low,close,volume,bid_close,ask_close
2025-11-19T18:15:00.000000000Z,1.3072,1.3073,1.30697,1.30702,666,1.30693,1.30712
2025-11-19T18:20:00.000000000Z,1.30702,1.3072,1.30692,1.30716,579,1.30707,1.30726
2025-11-19T18:25:00.000000000Z,1.30715,1.30729,1.30686,1.30698,569,1.30689,1.30708
2025-11-19T18:30:00.000000000Z,1.30698,1.30732,1.30696,1.30702,663,1.30693,1.30712
2025-11-19T18:35:00.000000000Z,1.30704,1.30755,1.30692,1.3074,807,1.30732,1.30749
2025-11-19T18:40:00.000000000Z,1.3074,1.30756,1.30726,1.30755,805,1.30745,1.30765
2025-11-19T18:45:00.000000000Z,1.30756,1.30767,1.30712,1.30724,1011,1.30714,1.30733
2025-11-19T18:50:00.000000000Z,1.30722,1.30748,1.30718,1.30722,738,1.30713,1.30732
2025-11-19T18:55:00.000000000Z,1.30724,1.30724,1.30655,1.30658,651,1.30645,1.30672
2025-11-19T19:00:00.000000000Z,1.3066,1.3069,1.30583,1.30598,1354,1.30589,1.30608
2025-11-19T19:05:00.000000000Z,1.30601,1.30618,1.30556,1.30599,1148,1.3059,1.30608
2025-11-19T19:10:00.000000000Z,1.30596,1.30596,1.30559,1.30559,813,1.30549,1.30569
2025-11-19T19:15:00.000000000Z,1.30563,1.30574,1.30536,1.30547,854,1.30538,1.30556
2025-11-19T19:20:00.000000000Z,1.30546,1.30558,1.30532,1.30539,728,1.30531,1.30547
2025-11-19T19:25:00.000000000Z,1.30538,1.3054,1.30518,1.30526,854,1.30517,1.30534
2025-11-19T19:30:00.000000000Z,1.30526,1.3055,1.30519,1.3054,642,1.30532,1.30548
2025-11-19T19:35:00.000000000Z,1.3054,1.30543,1.30496,1.30498,613,1.3049,1.30507
2025-11-19T19:40:00.000000000Z,1.30497,1.30498,1.3048,1.30484,515,1.30475,1.30493
2025-11-19T19:45:00.000000000Z,1.30484,1.30492,1.30476,1.3049,377,1.30479,1.305
2025-11-19T19:50:00.000000000Z,1.30488,1.30498,1.30466,1.30468,638,1.30458,1.30477
2025-11-19T19:55:00.000000000Z,1.30468,1.3048,1.30436,1.30458,1103,1.30449,1.30468
2025-11-19T20:00:00.000000000Z,1.30458,1.30489,1.30442,1.30484,758,1.30475,1.30493
2025-11-19T20:05:00.000000000Z,1.30484,1.30514,1.30483,1.30498,402,1.3049,1.30507
2025-11-19T20:10:00.000000000Z,1.30499,1.30524,1.30489,1.30524,547,1.30515,1.30532
2025-11-19T20:15:00.000000000Z,1.30523,1.30554,1.30518,1.30546,657,1.30537,1.30555
2025-11-19T20:20:00.000000000Z,1.30546,1.3055,1.30526,1.3053,463,1.30521,1.30538
2025-11-19T20:25:00.000000000Z,1.3053,1.30548,1.30528,1.30529,491,1.3052,1.30538
2025-11-19T20:30:00.000000000Z,1.3053,1.3053,1.30498,1.30524,359,1.30515,1.30533
2025-11-19T20:35:00.000000000Z,1.30524,1.30544,1.30514,1.30516,457,1.30507,1.30525
2025-11-19T20:40:00.000000000Z,1.30516,1.3054,1.3051,1.30526,543,1.30517,1.30534
2025-11-19T20:45:00.000000000Z,1.30524,1.30524,1.30496,1.30505,514,1.30495,1.30515
